Смерти/д.н.,ср. кол-во рака в г.,ср. кол-во смертей в г.,ср. кол-во диагнозов/д.н.,медиан. доход,Население графства,% бедности,кол-во исслед./д.н. в округе,ср. возраст в округе,ср. возраст м. в округе,ср. возраст ж. в округе,ср. размер дом-ва,% женатых,% 18-24 без 11 классов,% 18-24 оконч. 11 классов,% 18-24 оконч. бакалавр,% >25 оконч. 11 классов,% >25 оконч. бакалавр,% >16 работают,% >16 не работают,% с частной мед. страховкой,% с гос. мед. страховкой,% раса белые,% раса черн.,% раса азиаты,% раса другие,отн. кол-ва детей к женщинам
192.7,155,62,477.5,34971,26489,25.4,0,38.8,36.6,41.9,2.61,41.5,25.1,43.4,1.8,34.5,7.5,39.5,17.6,52.7,46.6,47.3637,46.7659,0.906,3.4457,6.267
195.6,68,34,391.8,34445,13963,21.2,214.8535415,41.3,39.6,43.6,2.56,47.7,23,37.1,7.7,38,10,50.6,9.7,62.3,39,71.5024,23.5113,1.8152,1.1049,8.3307
187.9,419,189,426.3,39922,82005,17.2,512.1638924,40.5,39.4,41.9,2.55,57.6,20.6,30.6,4.1,34.7,9.1,49.7,7.3,62.6,35.3,95.6932,1.1906,0.557,0.7374,3.9133
189.1,257,106,459.6,41940,49565,22.4,0,36.8,34,39.4,2.56,50.6,15.8,37.7,8.1,32.2,10.8,47.7,10.9,65.6,36.7,74.6641,19.6487,1.1792,1.1892,4.9083
217.4,252,108,503.7,26602,41131,35.2,0,38.7,36.2,40,2.53,33.4,17.7,35.9,3.1,34.6,8.2,43.5,16.4,48.1,50.4,28.6687,69.1844,0.3416,0.1613,8.4333
170.6,322,138,399.4,36241,71130,24,0,39.3,38.2,40.4,2.81,53.5,24.1,30.6,2.8,35.2,6.3,50.1,7.7,57.7,37.6,86.4172,1.8222,0.3082,6.9455,6.4142
201,615,264,472.9,39904,103057,19,0,40.8,39.3,42.2,2.56,50.1,19.8,32.2,4.7,31.9,10.1,49.4,9,62.8,38.7,81.252,15.4434,0.6544,0.6977,4.288
198.2,157,74,421.7,33881,31696,23.1,0,38.8,36.8,39.9,2.62,50.3,23.3,33.7,3.7,37.5,7.4,49.4,9.8,58.6,38.3,88.2721,4.9124,0.0917,4.1949,3.2645
212.4,125,53,494.6,39546,22583,18.1,929.9030244,38.9,37.8,40.4,2.95,49,25.3,33.1,1.2,42.1,6.1,45.2,8.3,64.8,39.4,76.6546,21.4387,0.0929,0.031,4.1799
200.3,176,74,488,34425,26777,23.9,0,42.2,41.5,43.3,2.47,52.3,24.7,39.1,3.6,37.1,9.3,48.3,11.2,56.1,42.7,86.5001,8.9017,1.2269,1.13,5.6304
154.5,58,19,495.8,26504,8479,33.2,0,42.4,41.2,45.1,2.7,30.9,22.3,29.9,1.6,38.9,7.8,35.2,20.4,44.7,54.1,17.7877,80.66,0.161,0,7.3434
197.7,98,39,510.4,33315,15068,28.1,0,40.2,38.2,41.7,2.53,41.3,18.7,45.2,0.5,42.9,9.9,43.6,13.3,54.5,46.7,39.9646,58.2459,0.2753,0.8325,8.9675
194.1,115,47,484,39930,17221,17.3,0,43,41.7,45.1,2.47,53.1,16.4,43.8,8.5,35.5,9.4,49.7,8.1,61.9,41.8,70.3687,28.3503,0,0.3884,7.1147
189.6,561,227,477.3,40124,104173,20.1,28.79824907,39,37.6,40.5,2.62,46.9,18,36.1,5,33.1,13.3,54,8.3,63.4,36.7,69.7066,26.4251,0.765,0.8239,5.6646
211.1,314,146,463.6,36923,52419,22,19.07705221,42.2,40.4,44.1,2.56,55.3,23.2,33,2.6,39.8,7.7,48.9,10.1,63.3,38.7,90.9705,3.0931,0.3973,1.2713,4.0112
186.7,3400,1382,466.5,44852,660367,19.5,284.6901799,37.4,35.7,39.1,2.47,43.9,13.2,29,10.6,26.5,18.6,56,9.1,66.7,33.2,52.7688,42.3483,1.5702,1.9124,5.5825
202.2,100,43,491.6,34553,13886,20.6,0,43.7,42.7,44.3,2.27,61.6,26.7,32,2.5,37.1,6.8,47,10.2,59,45.3,87.3841,11.0734,0.0212,0.6297,7.4891
194.4,529,238,449.5,41324,92596,18.7,21.59920515,41.1,39.4,42.7,2.35,52.4,12.7,24.5,6,34.1,12.8,,7.1,69.3,34.1,86.9265,9.9626,0.7246,0.22,5.1098
193.3,198,78,487.4,41574,33115,16.6,0,41.7,40.8,42.5,2.46,54.4,16.1,37.9,6.8,40.6,7.7,47,9.8,66.5,36.4,77.3477,11.4572,0.1102,0.0595,4.8301
175.4,291,120,429.9,45567,57673,17.5,0,40.7,39.6,41.9,2.74,59,19.4,33.3,3,33.4,8.6,48.4,7.7,66.2,35.9,95.0979,1.5318,0.1438,0.9617,6.8941
192,482,219,406.9,41256,156993,25.2,6.369710751,30.3,29.2,31.7,2.54,43.6,7.3,17.1,10.9,25.5,19.5,56.3,7.3,74,25.2,69.8878,23.2445,3.2765,1.724,4.4053
159.7,411,143,456.5,51175,91663,13.6,0,39,37.5,40.4,2.64,54.6,24.2,25.9,5.7,32.1,15.2,53.4,7.8,69.5,29.9,81.054,12.8664,1.2454,2.0427,5.1835
211.9,67,28,507.2,30675,10458,31.4,0,39.5,37.8,41.2,2.49,34.8,33.9,34.8,1.8,35.3,10.2,40.9,13.2,54.7,45.8,25.498,74.0551,0,0,3.7319
214.8,109,53,442.6,28518,19105,32.1,52.34231876,37.5,35.6,38.8,2.24,29.7,10.5,19.6,3.5,30.9,10.9,45.3,16.9,59.1,43.3,16.8348,81.2818,0.2148,0.5945,2.8001
164.7,1549,578,437.1,58833,353089,14.2,135.9430625,37.8,36.4,39.3,2.46,49.8,12.8,30,10.4,21.3,24.7,59,8.5,74.3,27.3,68.9298,24.0843,2.4888,0.8455,5.1112
190.3,122,52,458.4,32977,20028,25.6,0,42.2,41,43,2.42,44.4,18.2,31.6,2.2,42,9.7,42.4,11.4,60.1,43.6,46.6956,51.4281,0.1428,1.2115,4.6567
189.8,191,81,460,37707,30168,20.2,0,44.1,42.9,44.7,2.34,57.6,29.2,29.3,3.2,34.5,7.4,46.8,9.9,64.9,40.2,93.619,3.8503,0.283,0.0691,4.1966
192.7,473,213,437.9,36536,94725,22,105.5687517,38.8,37.4,40.2,2.72,52.7,20.4,34,6.5,31.9,10.7,51.9,8.4,59.4,36.4,92.0132,1.9201,0.4856,3.0758,6.0942
205.1,2134,925,475.8,42943,415395,19.6,209.4392085,37,35.7,38.3,2.62,44.8,19.7,32.2,8.1,32.8,14.6,52.6,9.8,62.4,35.1,60.0037,35.0452,1.9669,0.6713,5.2197
187,126,54,444.1,34733,21673,25.3,0,41.1,39.3,41.8,2.62,45.8,29.8,42.2,1.8,44.7,8,37.3,20.7,52.4,43.4,55.4305,42.2289,0.3331,0.045,6.0121
189.8,1023,442,438.8,43054,226519,22.5,26.48784429,35.2,33.5,36.6,2.47,39.5,19.9,30.8,8.7,26,19.2,55.4,8.8,63.5,36.3,38.9238,56.0893,2.2635,1.0125,5.6478
184.9,653,258,472.8,45082,119565,15,8.36365157,39.5,38,41.4,2.55,51.4,20,34.8,4.8,31,14.4,54.1,9.9,65.8,33.4,82.69,12.2861,0.6011,1.5169,4.8081
230.7,70,30,555.6,27403,9652,46.9,0,36.3,35.3,38.5,2.7,27.8,11.1,37.1,2.1,38.6,7.2,35.6,11.2,48.9,48.4,30.6336,68.0315,0.4383,0.1594,4.5528
178,110,48,424.5,31933,20864,25,0,42.4,41.5,43.7,2.51,43.8,18.8,34.3,3.3,42.2,6.7,41.7,13.8,58,44.5,56.1795,42.365,0.0655,0.4986,6.2912
212.3,280,121,494.1,35585,59660,20.9,0,34.8,33.2,36.2,0.0259,44.1,26.7,34.6,3.4,31.4,10.7,50.8,11.1,59.7,35,53.2263,41.8699,0.7547,0.6792,6.2854
183,408,168,438.3,50571,87074,14.3,689.0690677,39.8,39.1,41,2.62,55.6,18.7,42.1,4.6,35.5,9.9,54.2,8.4,69.7,32.1,87.394,9.4731,0.8374,0.9154,4.899
154.8,875,288,452.9,69432,208713,9.6,158.111857,37.9,37.2,38.6,2.66,57.4,13.1,27.8,12.5,21.4,26.9,63.7,5.5,80.5,21.5,81.3079,11.7624,2.0375,3.3327,4.497
216.2,70,35,433.9,25413,13103,38.1,0,36.7,36,38.7,2.61,29,10.6,16.5,5.5,40.5,9.8,40.3,16.8,46.5,46.6,24.9981,72.4458,1.694,0.1724,1.9214
197.4,452,191,465.9,39999,80862,22.5,0,40.9,40.1,41.5,2.49,47,21.1,32.7,3.5,36.3,8.2,46.9,13.8,59.9,42.9,64.6647,31.9548,0.4519,0.7515,4.5787
200.5,248,111,454.4,36779,40844,21.3,24.48340025,42.8,42.4,43.3,2.48,50.2,21.7,32.6,2.8,34.4,11.3,47.8,9,61.1,43.2,70.2938,27.7112,0.0364,0.8262,5.4624
179,875,327,479.9,46892,203976,18,14.70761266,31.9,30.4,33.2,2.75,42.1,8.7,23.6,8.3,30.5,17.6,53.9,7.6,71.8,29.4,66.1485,30.5835,1.4731,0.6291,5.4613
231.3,429,199,495,37245,65294,23.5,30.63068582,42.4,41.4,43.6,2.54,51,16.9,34.4,4.3,36.5,6.5,45.4,11.4,62.4,40.2,91.1169,5.7658,0.3732,0.5719,5.9317
212.2,95,44,459.4,41321,16804,18.5,0,40.9,38.9,43.3,2.75,52.4,25.5,42.3,1.6,46.1,6.7,41.8,20,59.8,40.2,65.6351,24.8514,0.3707,0.6236,6.0396
221.7,70,32,500.5,24035,11059,33.7,0,40.2,37.5,42.2,2.86,33.2,23.5,43,5,41.3,8.1,32.1,20.8,41.2,54.8,27.352,72.0249,0,0.5874,4.9961
203.4,148,67,454.6,35528,23877,20.1,0,43.9,43.3,44.7,2.53,52.7,19.9,33.5,2.8,33.7,6.8,45.3,9.6,58.8,43.9,96.1749,0.5056,0.1782,0.1119,5.8718
191.9,654,267,475.9,41123,115620,20.5,51.89413596,39.1,37.5,40.6,2.52,48.2,13.9,28.3,4.8,31.8,10.7,50.8,12.3,65,39.7,75.1106,20.4847,0.8573,0.9962,4.5249
208.5,228,95,510.7,34116,34123,21.3,0,43,41.5,43.9,2.44,43.9,14.2,42.6,3.9,38.4,7.6,49.8,8.9,57.7,42.2,57.666,40.3122,0.7629,0.0352,4.4091
191.2,158,69,432.6,38013,25859,18.6,0,45.4,44.6,46.2,2.28,62.1,15.8,38.3,5.5,36.4,7.9,47.8,7.9,66.3,43.3,92.9214,4.9254,0.3384,0.0654,4.6878
203.3,8,3,201.3,68387,5702,9.9,0,36.8,38.8,32.9,3.59,40.6,11.3,52.1,7,37,10.3,80.1,2.1,69.1,11.2,31.5623,4.7326,37.1569,5.2956,4.3911
167.5,1085,352,453.3,75200,298695,10,565.7945396,32.5,31.7,33.4,2.77,47.7,13.7,34.2,7.4,24.1,20.9,,6.7,69.5,24.5,64.9447,5.8544,8.8005,1.7472,5.9943
218.8,37,20,338.2,45808,17946,23.8,0,26.7,27,26.5,3.86,39,41.3,40.5,2,43.6,7.6,51.7,17.6,35.2,47.3,12.0162,0.7988,1.1757,0.3432,9.1563
177.2,307,105,424.4,67801,99631,9.5,270.99999,30.4,29.6,31.3,2.69,49.7,10.5,30.2,7.7,23.4,19.7,60.2,7.9,75,22.2,76.6491,4.3528,2.6288,0.8916,7.3826
126.3,13,4,413.3,67260,2534,9.8,0,45.5,45.6,45.3,2.12,55.3,0.5,72.5,1.4,27.7,24,66.8,3,60.4,24.4,80.5469,0.0391,3.0078,0.5078,5.3743
166.3,119,41,390.1,80835,32756,7.9,0,37,36.6,37.4,2.62,48.7,15.7,42.9,7.9,21.1,24.5,68.4,5.2,75.3,21.6,68.9957,1.2696,6.812,1.1866,5.6016
168.1,266,96,441.4,62532,58059,11.5,0,40.5,40,41.1,2.57,51,20.9,41.1,3.6,33.1,14.5,56.3,9.4,60.7,29.2,84.0863,0.6344,1.2793,0.5592,5.6801
205,63,25,477.3,57776,13709,12.4,0,38.7,37.9,39.4,2.55,48.1,19.7,45.7,3.8,32.8,15.7,61.2,7.9,64.7,28.3,67.7422,0.4234,7.3071,0.657,4.9367
181.9,43,15,416.6,67972,13889,8.3,0,32.4,31.4,33.3,2.98,52.4,11.1,37.5,1.7,27.3,18.2,66.7,6.3,58.4,23.6,54.0256,0.4723,21.2767,2.7983,6.7686
184.3,357,127,469.3,73981,101095,10.7,0,34.6,34.3,34.9,3.03,52.3,21.5,44.9,2.6,31.6,13.7,56.4,9.8,63.3,27.8,84.0265,0.9971,1.4411,0.7122,4.854
277.6,34,17,499.3,47160,9846,26.1,0,27.8,28.4,27.3,3.26,35.9,24.1,52.1,1,41.3,10.3,53.4,16.5,35.8,42.4,17.4548,0.7307,1.2076,0.1421,11.3504
256.9,26,12,501.1,75682,9687,11.5,103.2311345,33.9,36,28.7,3.28,46.7,16.1,52,3.5,36.8,10.4,73.4,9.3,64.1,20.2,32.9678,0.662,5.3274,1.8517,10.6334
199.3,20,9,373.5,65192,7752,23.2,0,26.1,26.4,25.8,3.97,37.2,28.2,56.4,1.8,43.6,6.9,49.4,21.9,33.4,39.1,12.2737,0.3233,0.7631,0.582,12.3929
150.1,28,13,298.1,65765,8863,8.6,0,38.9,38.2,39.6,2.49,51.2,24,41.1,8.2,22.1,18.7,66.5,3.8,68.1,25.4,64.8552,1.0846,5.8817,1.0287,3.1419
184.3,27,11,372.9,59641,6839,13.8,0,35.8,37.7,35.1,3.11,54,19.4,45.6,3.2,33.2,12.1,,9.4,56.1,32.5,79.7268,1.1381,1.4369,1.2093,7.2373
191.4,36,13,417.3,73998,9362,9.9,0,36.6,36.4,36.8,3.1,46.5,6.3,44.6,4.6,27.2,19.7,59.3,10.7,64.4,20,73.2453,0,3.2027,1.1958,5.4707
206.6,27,11,475.1,36708,5533,25.7,0,35,35.4,34,2.81,37.8,26.6,53.8,0,40.1,7.4,49.2,18.2,32,36.6,23.2459,0.3012,0.4607,0.2126,6.7446
142.1,186,95,269.9,32366,71474,33.1,307.8042365,33.4,32.3,34.4,3.67,34.8,25.8,39.1,1.1,33.4,6.9,34.5,18.2,31.5,50.8,23.2405,0.6128,0.427,1.0565,6.5183
154.6,583,267,350.1,45025,126427,18.7,0,40,38.2,41.8,2.42,50.4,17.9,37.9,4.4,23.4,14.5,42.3,8.7,64.7,43.5,80.0204,3.8744,1.6792,7.2883,5.4574
119.8,399,130,348.4,48653,139097,21.3,50.32459363,30.8,30.7,31,0.027,41.2,9.7,26.3,7.1,21.3,19.5,58.9,8.8,61.1,29.8,62.8159,1.5633,1.6584,3.5772,5.0301
163.3,290,147,339.2,37677,53159,24.4,0,48.6,47.4,50.1,2.5,50.9,25,38.2,2.4,30,9.7,41.4,12.8,52,52.7,79.1442,0.7223,0.6,1.9581,6.1794
161.2,32,14,364.5,59416,9529,10.3,0,33,32.5,34,2.78,49.6,26.6,30.8,1.4,37.5,8.2,49.7,10,69.6,29.5,89.3605,1.5405,0.4433,3.48,7.9573
126.1,129,54,332,32533,20152,22.8,0,54.8,54.8,54.9,2.14,54.1,26.3,40.4,0,36.6,6.4,37,11.2,50.3,62.2,73.9267,0.1967,0.8262,8.9845,4.6865
146.6,15470,5780,401.4,53929,4167947,17.1,177.5454438,35.6,34.5,36.8,2.75,47.1,16.7,30.5,8.3,23,19.5,58.4,7.7,63.1,31.4,79.5808,5.221,3.789,6.1883,5.3922
196.6,1424,672,444.9,37704,204737,20.8,161.182395,49.2,48.3,50,2.43,49.5,25.7,40.3,2.8,35.7,7.6,39.5,13.2,50.5,52.9,89.0456,1.1271,1.2279,2.9352,4.5758
146.8,370,167,325.3,35457,108277,28.5,0,35.7,34.5,37,3.08,45,30.7,36.4,0.6,29.5,9,39.7,19.8,40.1,52.7,48.4005,0.6697,0.5852,3.4127,7.9664
155.5,4415,1916,379.1,45871,1010025,18.7,202.9652731,38,36.5,39.7,2.49,44.9,15.3,27.6,7.6,22.8,17.7,52.6,10,61,38.5,77.8838,3.6176,2.7538,8.5666,5.5016
133.5,1342,558,330.9,49876,406584,17.6,19.67613089,37.6,36.9,38.5,2.87,49.9,28.3,36.3,2.2,30.1,11.7,44.3,10.6,61.6,39.5,79.3726,4.6063,1.7184,5.5294,5.7195
132.8,149,68,296.2,37465,46461,23.6,0,36.5,33.5,38.9,3.04,53.1,25.2,27.5,5.9,25.3,14.6,49.1,11.3,49.5,44.6,79.7548,0.3505,0.99,17.065,6.6433
126.8,752,291,343,39700,204275,22.6,44.0582548,33.8,32.3,35.8,2.77,55.7,20.3,32,2.8,25,9.4,46.1,13.1,51.6,41.5,77.1414,2.1184,1.2976,15.6833,6.2845
147.7,479,163,409.3,44490,150965,24.9,0,31.4,32.2,30.4,3.19,44.3,20.3,30.7,3.3,24.8,9.7,,13,55.9,37.6,68.4042,6.2233,3.71,15.6538,6.6388
190.6,416,176,460.1,36333,64591,24.3,0,45.5,44.4,46.8,2.34,45.4,19.5,35.1,3.7,28.3,10.8,43.7,14.6,47.6,50.6,79.6097,2.2476,1.2874,9.9489,6.7185
169.9,123,54,365.7,49995,31345,19.4,0,37,34.7,44.2,2.24,43.5,32,34,1.2,28.8,8.1,32.2,10.9,66.6,38.6,74.8813,8.5434,1.5102,7.8021,7.5497
148.4,38150,14010,405.5,55686,10170292,18.7,255.9415207,35.6,34.4,36.8,3.02,42.4,15.3,27,9.9,20.7,19.8,58,10,55,32.9,53.2587,8.2761,14.1294,19.5915,4.7053
147.5,611,212,420.3,43171,154998,22.3,109.6788346,33.5,32.2,34.5,3.35,47.6,27.9,29.8,2.2,25.1,9.4,45.9,7.5,45.8,46.9,81.6531,3.4683,2.1229,7.9269,6.9727
147.6,116,43,396.8,47781,17531,16.2,0,50.6,50.6,50.6,2.29,58.2,25.7,28.8,8,28.5,13.8,48.2,11.6,68.6,41.3,87.5653,1.0793,1.2986,2.6365,9.589
167.5,513,197,452.2,42840,87649,18.8,79.86400301,42.2,40.6,44,2.51,45.1,17,35.1,3.3,26.5,15.7,52.1,12.2,49.3,49.2,82.8292,0.6682,1.9385,5.4418,5.3831
162.9,877,343,415.9,43818,268455,24.8,29.80015273,30.4,29.6,31,3.32,45.8,13.8,29,3.6,24.8,8.7,49.8,16.2,48,44.4,61.1748,3.4182,7.5427,22.6519,6.3937
160.8,57,24,408.6,39172,8965,20.2,111.5448968,47.8,47.6,48.2,2.32,52.1,36.7,37.3,3.4,26.1,13.2,43.9,8.6,50.8,50.3,90.1786,0.5118,1.0889,1.0453,8.3133
102.1,45,13,320.8,59181,13909,11.3,0,38.5,40.2,36.1,2.82,42.2,7.7,37.1,25,16.8,23.1,61.1,13.4,56.7,29.7,84.0803,0.5514,1.0957,8.7728,1.9913
140.8,1601,551,413.6,57428,433898,17,73.75005186,33.5,32.8,34.3,3.26,46.3,20.9,27.3,5.1,20.8,14.2,54.3,8.4,55.6,35.1,73.3069,2.7885,6.086,12.7534,5.922
170.2,815,298,488.9,71063,142456,9,182.5124951,40.3,39,41.7,2.74,50.9,15.2,30.8,5.7,19.3,21.6,60.7,7.5,71.8,30.4,74.0682,2.0984,7.7102,11.5549,4.9411
144.9,628,227,423.9,57118,98877,11.4,182.0443581,49,47.5,50.5,2.38,53.6,13.4,28.8,5.2,20.2,21.6,49.9,9.8,66.7,39.1,92.3689,0.488,1.4355,1.7054,4.0791
143.8,12694,4410,418.6,76061,3169776,12.9,145.7516241,37.1,35.8,38.4,3.04,50.1,11.5,27,11.2,17.7,24.4,60.9,7.6,65,27.9,63.2207,1.6629,18.9451,11.8168,4.8278
153.4,1948,686,460.5,75689,375391,8.3,407.5750351,41,39.7,42.2,2.67,55.6,10.7,31.2,7.4,19.4,24.5,55.8,8.3,78.2,27.6,83.6439,1.415,6.6801,2.9185,4.4332
